list_name,name,label,cfac_code,Province,District,Province_code,District_code,CFAC_Name,ao
village_list,AF3001_Ahmad Shahi_1St Guzar,1St Guzar,AF3001_Ahmad Shahi,Hilmand,Lashkargah,AF30,AF3001,Ahmad shahi,KANAO
village_list,AF3008_Khakish_Aabmal,Aabmal,AF3008_Khakish,Hilmand,Sangin,AF30,AF3008,Khakish,KANAO
village_list,AF3008_Khakish_Aabmal Haji Dawood Shah Masjid,Aabmal Haji Dawood Shah Masjid,AF3008_Khakish,Hilmand,Sangin,AF30,AF3008,Khakish,KANAO
village_list,AF2601_Zozgara Village_Abdul Ahad Agha Masjid,Abdul Ahad Agha Masjid,AF2601_Zozgara Village,Zabul,Qalat,AF26,AF2601,Zozgara Village,KANAO
village_list,AF2501_District 3_Abdul Ahad Masjid,Abdul Ahad Masjid,AF2501_District 3,Uruzgan,Tarinkot,AF25,AF2501,District 3,KANAO
village_list,AF2608_Ghondi_Abdul Aziz,Abdul Aziz,AF2608_Ghondi,Zabul,Atghar,AF26,AF2608,Ghondi,KANAO
village_list,AF3402_Khalid_Abdul Baqi Sasuli,Abdul Baqi Sasuli,AF3402_Khalid,Nimruz,Kang,AF34,AF3402,Khalid,KANAO
village_list,AF2608_Sor Khab_Abdul Ghafoor,Abdul Ghafoor,AF2608_Sor Khab,Zabul,Atghar,AF26,AF2608,Sor Khab,KANAO
village_list,AF2607_Chanaran_Abdul Ghias,Abdul Ghias,AF2607_Chanaran,Zabul,Daychopan,AF26,AF2607,Chanaran,KANAO
village_list,AF2601_Nawi Nomri_Abdul Hakim Jama,Abdul Hakim Jama,AF2601_Nawi Nomri,Zabul,Qalat,AF26,AF2601,Nawi Nomri,KANAO
village_list,AF3012_Khanjak Mazar_Abdul Hakim Masjid,Abdul Hakim Masjid,AF3012_Khanjak Mazar,Hilmand,Baghran,AF30,AF3012,Khanjak Mazar,KANAO
village_list,AF3403_Etifaq_Abdul Hakim Shadi Khan,Abdul Hakim Shadi Khan,AF3403_Etifaq,Nimruz,Chikhansur,AF34,AF3403,Etifaq,KANAO
village_list,AF2601_Malayan Village_Abdul Hamid Masjid,Abdul Hamid Masjid,AF2601_Malayan Village,Zabul,Qalat,AF26,AF2601,Malayan village,KANAO
village_list,AF2608_Omar Khil_Abdul Hanan,Abdul Hanan,AF2608_Omar Khil,Zabul,Atghar,AF26,AF2608,Omar khil,KANAO
village_list,AF3012_Sarbaghni_Abdul Khaliq Masjid,Abdul Khaliq Masjid,AF3012_Sarbaghni,Hilmand,Baghran,AF30,AF3012,Sarbaghni,KANAO
village_list,AF2601_Haji Qadar Wat_Abdul Latif Masjid,Abdul Latif Masjid,AF2601_Haji Qadar Wat,Zabul,Qalat,AF26,AF2601,Haji Qadar Wat,KANAO
village_list,AF2608_Sor Khab_Abdul Malik,Abdul Malik,AF2608_Sor Khab,Zabul,Atghar,AF26,AF2608,Sor Khab,KANAO
village_list,AF2501_Kata Khanjak_Abdul Qadoos Musjat,Abdul Qadoos Musjat,AF2501_Kata Khanjak,Uruzgan,Tarinkot,AF25,AF2501,Kata khanjak,KANAO
village_list,AF2608_Sor Khab_Abdul Rahim,Abdul Rahim,AF2608_Sor Khab,Zabul,Atghar,AF26,AF2608,Sor Khab,KANAO
village_list,AF2601_Nawkhiz_Abdul Rahman Kalachah,Abdul Rahman Kalachah,AF2601_Nawkhiz,Zabul,Qalat,AF26,AF2601,Nawkhiz,KANAO
village_list,AF2610_Soor Ragha_Abdul Rahman Khil,Abdul Rahman Khil,AF2610_Soor Ragha,Zabul,Shamul Zayi,AF26,AF2610,Soor Ragha,KANAO
village_list,AF3402_All Qasem_Abdul Rauf Tayee,Abdul Rauf Tayee,AF3402_All Qasem,Nimruz,Kang,AF34,AF3402,All qasem,KANAO
village_list,AF2501_District 2_Abdul Razaq Masjid,Abdul Razaq Masjid,AF2501_District 2,Uruzgan,Tarinkot,AF25,AF2501,District 2,KANAO
village_list,AF2608_Baizy_Abdul Raziq,Abdul Raziq,AF2608_Baizy,Zabul,Atghar,AF26,AF2608,Baizy,KANAO
village_list,AF2607_Larzab_Abdul Raziq,Abdul Raziq,AF2607_Larzab,Zabul,Daychopan,AF26,AF2607,Larzab,KANAO
village_list,AF2711_Sangar_Abdul Raziq Kaly,Abdul Raziq Kaly,AF2711_Sangar,Kandahar,Spin Boldak,AF27,AF2711,Sangar,KANAO
village_list,AF3008_Bostonzai_Abdul Razq,Abdul Razq,AF3008_Bostonzai,Hilmand,Sangin,AF30,AF3008,bostonzai,KANAO
village_list,AF3012_Hanger Chagh_Abdul Wahid,Abdul Wahid,AF3012_Hanger Chagh,Hilmand,Baghran,AF30,AF3012,Hanger Chagh,KANAO
village_list,AF2501_Now Joy_Abdul Wahid,Abdul Wahid,AF2501_Now Joy,Uruzgan,Tarinkot,AF25,AF2501,Now Joy,KANAO
village_list,AF2610_Zanzir_Abdul Wali,Abdul Wali,AF2610_Zanzir,Zabul,Shamul Zayi,AF26,AF2610,Zanzir,KANAO
village_list,AF2610_Zanzir_Abdul Zahir,Abdul Zahir,AF2610_Zanzir,Zabul,Shamul Zayi,AF26,AF2610,Zanzir,KANAO
village_list,AF2608_Sor Khab_Abdull Jalil,Abdull Jalil,AF2608_Sor Khab,Zabul,Atghar,AF26,AF2608,Sor Khab,KANAO
village_list,AF2608_Ghondi_Abdullah,Abdullah,AF2608_Ghondi,Zabul,Atghar,AF26,AF2608,Ghondi,KANAO
village_list,AF2601_Zozgara Village_Abdullah Jan Masjid,Abdullah Jan Masjid,AF2601_Zozgara Village,Zabul,Qalat,AF26,AF2601,Zozgara Village,KANAO
village_list,AF2607_Larzab_Abdullah Kali,Abdullah Kali,AF2607_Larzab,Zabul,Daychopan,AF26,AF2607,Larzab,KANAO
village_list,AF2610_Nawa_Abdullah Khan,Abdullah Khan,AF2610_Nawa,Zabul,Shamul Zayi,AF26,AF2610,Nawa,KANAO
village_list,AF2716_2_Salimanzi_Abdullahzi Kaly,Abdullahzi Kaly,AF2716_2_Salimanzi,Kandahar,Takhtapul,AF27,AF2716_2,Salimanzi,KANAO
village_list,AF3012_Sarbaghni_Abdulqadir Masjid,Abdulqadir Masjid,AF3012_Sarbaghni,Hilmand,Baghran,AF30,AF3012,Sarbaghni,KANAO
village_list,AF2605_Murghabi_Abdurahimzi,Abdurahimzi,AF2605_Murghabi,Zabul,Arghandab,AF26,AF2605,Murghabi,KANAO
village_list,AF2605_Murghabi_Abduraimzi Ghbarghai,Abduraimzi Ghbarghai,AF2605_Murghabi,Zabul,Arghandab,AF26,AF2605,Murghabi,KANAO
village_list,AF3008_Bostonzai_Abdurazaq,Abdurazaq,AF3008_Bostonzai,Hilmand,Sangin,AF30,AF3008,bostonzai,KANAO
village_list,AF3008_Bostonzai_Abdurazaq Masjid,Abdurazaq Masjid,AF3008_Bostonzai,Hilmand,Sangin,AF30,AF3008,bostonzai,KANAO
village_list,AF2713_Ghelang_Ablak Sar,Ablak Sar,AF2713_Ghelang,Kandahar,Miyanshin,AF27,AF2713,Ghelang,KANAO
village_list,AF2607_Chanaran_Ablato,Ablato,AF2607_Chanaran,Zabul,Daychopan,AF26,AF2607,Chanaran,KANAO
village_list,AF3012_Dara_Adam Khan Kariz Haji Dastagir Masjid,Adam Khan Kariz Haji Dastagir Masjid,AF3012_Dara,Hilmand,Baghran,AF30,AF3012,Dara,KANAO
village_list,AF2711_Habib_Adozo Kaly,Adozo Kaly,AF2711_Habib,Kandahar,Spin Boldak,AF27,AF2711,Habib,KANAO
village_list,AF2610_Soor Ragha_Adrahman Khil,Adrahman Khil,AF2610_Soor Ragha,Zabul,Shamul Zayi,AF26,AF2610,Soor Ragha,KANAO
village_list,AF3008_Karim Kariz_Afghani,Afghani,AF3008_Karim Kariz,Hilmand,Sangin,AF30,AF3008,Karim Kariz,KANAO
village_list,AF3012_Sarbaghni_Agha Jan Masjid,Agha Jan Masjid,AF3012_Sarbaghni,Hilmand,Baghran,AF30,AF3012,Sarbaghni,KANAO
village_list,AF2601_Agha Sahib Wat_Agha Sahib Masjid,Agha Sahib Masjid,AF2601_Agha Sahib Wat,Zabul,Qalat,AF26,AF2601,Agha Sahib Wat,KANAO
village_list,AF2601_Wilayati Roghton_Agha Sahib Masjid,Agha Sahib Masjid,AF2601_Wilayati Roghton,Zabul,Qalat,AF26,AF2601,Wilayati Roghton,KANAO
village_list,AF2505_Matakzai_Aghajan,Aghajan,AF2505_Matakzai,Uruzgan,Khas Uruzgan,AF25,AF2505,Matakzai,KANAO
